feature,importance,feature_block,feature_subblock
code_n_comparison_ops_change_last_first,0.002210782229230512,Structural code,Structural code
llm_code_readability_last,0.002149295495374798,LLM semantic,LLM semantic scores
code_n_return_max,0.0021087318476130366,Structural code,Structural code
llm_overall_code_quality_change_last_first,0.0020967333600907475,LLM semantic,LLM semantic scores
code_n_semicolons_first,0.002039906937002935,Structural code,Structural code
code_n_while_max,0.0019923883114042395,Structural code,Structural code
llm_code_readability_change_last_first,0.0019849952530306713,LLM semantic,LLM semantic scores
llm_control_flow_quality_change_last_first,0.0019631785886024943,LLM semantic,LLM semantic scores
llm_variable_naming_quality_change_last_first,0.001958714336165387,LLM semantic,LLM semantic scores
code_n_loops_max,0.001901483350788956,Structural code,Structural code
code_n_assignments_change_last_first,0.0018359405653836265,Structural code,Structural code
llm_decomposition_quality_first,0.0018332564404439035,LLM semantic,LLM semantic scores
llm_variable_naming_quality_first,0.0018053518368046234,LLM semantic,LLM semantic scores
llm_llm_confidence_mean,0.001654626260940849,LLM semantic,LLM semantic scores
llm_variable_naming_quality_last,0.0016526821666943705,LLM semantic,LLM semantic scores
code_n_semicolons_last,0.0015565992515090134,Structural code,Structural code
code_n_for_max,0.0015513636859712044,Structural code,Structural code
code_n_return_last,0.0015419204442902272,Structural code,Structural code
code_n_semicolons_change_last_first,0.001505231487201499,Structural code,Structural code
llm_control_flow_quality_first,0.0014462069127322682,LLM semantic,LLM semantic scores
llm_code_completeness_change_last_first,0.0013896024677801941,LLM semantic,LLM semantic scores
code_n_else_change_last_first,0.0013836625356860488,Structural code,Structural code
code_n_return_first,0.0013827614445180458,Structural code,Structural code
llm_strategy_prop_loops_or_iteration,0.0013352726201086031,LLM semantic,LLM strategy proportions
code_n_if_change_last_first,0.00129327047999491,Structural code,Structural code
code_n_comparison_ops_first,0.0012626447042787872,Structural code,Structural code
code_brace_balance_max,0.0012469072520563248,Structural code,Structural code
llm_code_completeness_first,0.0012036201939131994,LLM semantic,LLM semantic scores
llm_error_proneness_change_last_first,0.0011953533890190758,LLM semantic,LLM semantic scores
code_n_if_last,0.0011732197660157093,Structural code,Structural code
code_n_comparison_ops_last,0.0011618262861069716,Structural code,Structural code
llm_error_proneness_first,0.001158419766375165,LLM semantic,LLM semantic scores
code_n_boolean_ops_change_last_first,0.0009704215818628462,Structural code,Structural code
code_n_else_first,0.0009071325707695124,Structural code,Structural code
llm_algorithmic_efficiency_change_last_first,0.0008815773993305873,LLM semantic,LLM semantic scores
llm_code_completeness_last,0.0008630093471970014,LLM semantic,LLM semantic scores
llm_decomposition_quality_last,0.000859109683811232,LLM semantic,LLM semantic scores
code_n_if_first,0.0008297193899070603,Structural code,Structural code
code_n_boolean_ops_first,0.0008100154905007218,Structural code,Structural code
llm_algorithmic_efficiency_last,0.0007204375475220709,LLM semantic,LLM semantic scores
llm_code_readability_first,0.0006759551898886096,LLM semantic,LLM semantic scores
code_has_comment_max,0.0006496282220907839,Structural code,Structural code
llm_llm_confidence_change_last_first,0.0006198072196303724,LLM semantic,LLM semantic scores
code_has_comment_change_last_first,0.0006140779281781905,Structural code,Structural code
code_n_assignments_last,0.0006083107746631839,Structural code,Structural code
code_n_for_change_last_first,0.0006019339835218621,Structural code,Structural code
llm_error_proneness_last,0.0005967852713706837,LLM semantic,LLM semantic scores
code_n_assignments_first,0.0005889800431226369,Structural code,Structural code
code_n_for_last,0.0005573500971587791,Structural code,Structural code
n_assignments_attempted,0.0005541791249042052,Traditional LA,Activity and attempts
llm_strategy_prop_incomplete_or_empty,0.0005251192723465555,LLM semantic,LLM strategy proportions
attempts_change_late_early,0.0004923884938224006,Traditional LA,Temporal phase
llm_algorithmic_efficiency_first,0.00041140384183989973,LLM semantic,LLM semantic scores
llm_overall_code_quality_last,0.00041139277618841043,LLM semantic,LLM semantic scores
code_n_loops_change_last_first,0.00040961821197082115,Structural code,Structural code
llm_control_flow_quality_last,0.00039436342464192563,LLM semantic,LLM semantic scores
code_brace_balance_first,0.00039363877405130317,Structural code,Structural code
code_n_else_last,0.0003729935807717907,Structural code,Structural code
llm_strategy_prop_unclear_or_other,0.0003580319241477407,LLM semantic,LLM strategy proportions
code_n_loops_last,0.00034308735008307934,Structural code,Structural code
llm_llm_confidence_last,0.0003390424214302485,LLM semantic,LLM semantic scores
code_has_comment_first,0.00031211160925431687,Structural code,Structural code
code_has_conditional_change_last_first,0.0003064623894421192,Structural code,Structural code
code_has_conditional_first,0.00024001840569183155,Structural code,Structural code
llm_strategy_prop_helper_methods,0.0002267259160965995,LLM semantic,LLM strategy proportions
code_n_boolean_ops_last,0.000224054110851252,Structural code,Structural code
code_brace_balance_change_last_first,0.00022089660226730647,Structural code,Structural code
llm_strategy_prop_hardcoded_solution,0.00014340040747965046,LLM semantic,LLM strategy proportions
code_has_conditional_last,0.0001191730621208301,Structural code,Structural code
code_has_loop_last,0.00011379151124340268,Structural code,Structural code
code_has_loop_change_last_first,0.00010519512605837344,Structural code,Structural code
llm_llm_confidence_first,0.00010336032439215294,LLM semantic,LLM semantic scores
code_n_while_change_last_first,2.615352247163738e-05,Structural code,Structural code
min_score_attempt,0.0,Traditional LA,Activity and attempts
code_n_for_first,0.0,Structural code,Structural code
llm_strategy_prop_object_oriented,0.0,LLM semantic,LLM strategy proportions
code_n_while_first,0.0,Structural code,Structural code
code_n_while_last,0.0,Structural code,Structural code
code_has_loop_first,0.0,Structural code,Structural code
code_has_comment_last,0.0,Structural code,Structural code
code_has_loop_max,0.0,Structural code,Structural code
max_score_attempt,0.0,Traditional LA,Activity and attempts
code_has_conditional_max,0.0,Structural code,Structural code
llm_n_submissions,0.0,LLM semantic,LLM coverage
code_brace_balance_last,0.0,Structural code,Structural code
code_n_loops_first,0.0,Structural code,Structural code
llm_valid_json_rate,0.0,LLM semantic,LLM coverage
